intersection_key,road_key,time_key,actual_month,Before,After_year,paired_index,report_year
หมอมี,เจริญกรุง,07:00-09:00,12,2420.5,945.5,39.06217723610824,2025
เฉลิมเผ่า,พระรามที่ 1,07:00-09:00,7,2678.5,2583.5,96.4532387530334,2025
เฉลิมเผ่า,อังรีดูนังต์,07:00-09:00,7,897.0,859.0,95.76365663322186,2025
เตาปูน,ประชาราษฎร์,07:00-09:00,10,1562.0,1168.0,74.77592829705506,2025
เตาปูน,ประชาราษฎร์สาย 2,07:00-09:00,10,1393.0,1316.0,94.47236180904522,2025
เทียมร่วมมิตร,รัชดาภิเษก,07:00-09:00,7,6965.5,4593.0,65.9392721269112,2025
เทียมร่วมมิตร,เทียมร่วมมิตร,07:00-09:00,7,3099.5,1899.0,61.267946442974676,2025
เพลินจิต,วิทยุ,07:00-09:00,7,1549.0,1360.5,87.83085861846352,2025
เพลินจิต,เพลินจิต,07:00-09:00,7,3902.0,3236.5,82.9446437724244,2025
บางขุนนนท์,จรัญสนิทวงศ์,07:00-09:00,3,1967.0,2560.5,130.17285205897306,2026
บางยี่เรือ,อินทรพิทักษ์,07:00-09:00,5,1489.5,717.5,48.17052702249077,2026
บางยี่เรือ,เทอดไท,07:00-09:00,5,792.5,368.5,46.49842271293375,2026
บางยี่เรือ,เพชรเกษม,07:00-09:00,5,1813.0,1131.0,62.38279095421952,2026
อุรุพงษ์,พระรามที่ 6,07:00-09:00,5,4112.5,2305.5,56.06079027355623,2026
อุรุพงษ์,เพชรบุรี,07:00-09:00,5,4077.5,2172.0,53.26793378295525,2026
