intersection_key,road_key,time_key,covid_period,median,mean,size
จอมทอง,วุฒากาศ,09:00-16:00,ก่อนโควิด,646.4285714285714,646.4285714285714,1
จอมทอง,วุฒากาศ,09:00-16:00,หลังโควิด,549.0,549.0,1
จอมทอง,วุฒากาศ,09:00-16:00,โควิด,538.4285714285714,538.4285714285714,1
จอมทอง,วุฒากาศ,16:00-19:00,ก่อนโควิด,632.0,632.0,1
จอมทอง,วุฒากาศ,16:00-19:00,หลังโควิด,696.6666666666666,696.6666666666666,1
จอมทอง,วุฒากาศ,16:00-19:00,โควิด,530.0,530.0,1
จักรพรรดิพงษ์,จักรพรรดิพงษ์,07:00-09:00,ก่อนโควิด,3220.5,3220.5,2
จักรพรรดิพงษ์,จักรพรรดิพงษ์,07:00-09:00,หลังโควิด,2455.0,3979.6666666666665,3
จักรพรรดิพงษ์,จักรพรรดิพงษ์,07:00-09:00,โควิด,3041.5,3041.5,1
จักรพรรดิพงษ์,จักรพรรดิพงษ์,09:00-16:00,ก่อนโควิด,2633.4285714285716,2633.4285714285716,2
จักรพรรดิพงษ์,จักรพรรดิพงษ์,09:00-16:00,หลังโควิด,953.5714285714286,953.5714285714286,1
จักรพรรดิพงษ์,จักรพรรดิพงษ์,09:00-16:00,โควิด,2975.285714285714,2975.285714285714,1
จักรพรรดิพงษ์,จักรพรรดิพงษ์,16:00-19:00,ก่อนโควิด,2172.833333333333,2172.833333333333,2
จักรพรรดิพงษ์,จักรพรรดิพงษ์,16:00-19:00,หลังโควิด,532.0,532.0,1
จักรพรรดิพงษ์,จักรพรรดิพงษ์,16:00-19:00,โควิด,3188.3333333333335,3188.3333333333335,1
จักรพรรดิพงษ์,นครสวรรค์,07:00-09:00,ก่อนโควิด,1049.5,1049.5,2
จักรพรรดิพงษ์,นครสวรรค์,07:00-09:00,หลังโควิด,1809.5,2556.5,3
จักรพรรดิพงษ์,นครสวรรค์,07:00-09:00,โควิด,1415.5,1415.5,1
จักรพรรดิพงษ์,นครสวรรค์,09:00-16:00,ก่อนโควิด,1050.857142857143,1050.857142857143,2
จักรพรรดิพงษ์,นครสวรรค์,09:00-16:00,หลังโควิด,488.42857142857144,488.42857142857144,1
จักรพรรดิพงษ์,นครสวรรค์,09:00-16:00,โควิด,1273.142857142857,1273.142857142857,1
จักรพรรดิพงษ์,นครสวรรค์,16:00-19:00,ก่อนโควิด,1003.6666666666666,1003.6666666666666,2
จักรพรรดิพงษ์,นครสวรรค์,16:00-19:00,หลังโควิด,1432.6666666666667,1432.6666666666667,1
จักรพรรดิพงษ์,นครสวรรค์,16:00-19:00,โควิด,1678.6666666666667,1678.6666666666667,1
จันทน์ - นราธิวาส,จันทน์,07:00-09:00,ก่อนโควิด,1185.5,1185.5,1
จันทน์ - นราธิวาส,จันทน์,07:00-09:00,หลังโควิด,951.0,977.0,3
จันทน์ - นราธิวาส,จันทน์,07:00-09:00,โควิด,942.5,942.5,2
จันทน์ - นราธิวาส,จันทน์,09:00-16:00,ก่อนโควิด,1203.0,1203.0,1
จันทน์ - นราธิวาส,จันทน์,09:00-16:00,หลังโควิด,919.8571428571429,919.8571428571429,1
จันทน์ - นราธิวาส,จันทน์,09:00-16:00,โควิด,944.0714285714286,944.0714285714286,2
จันทน์ - นราธิวาส,จันทน์,16:00-19:00,ก่อนโควิด,1340.6666666666667,1340.6666666666667,1
จันทน์ - นราธิวาส,จันทน์,16:00-19:00,หลังโควิด,1119.3333333333333,1119.3333333333333,1
จันทน์ - นราธิวาส,จันทน์,16:00-19:00,โควิด,917.3333333333334,917.3333333333334,2
จันทน์ - เจริญราษฎร์,จันทน์,07:00-09:00,ก่อนโควิด,1876.75,1876.75,2
จันทน์ - เจริญราษฎร์,จันทน์,07:00-09:00,หลังโควิด,1396.0,1395.6666666666667,3
จันทน์ - เจริญราษฎร์,จันทน์,07:00-09:00,โควิด,2119.0,2119.0,1
จันทน์ - เจริญราษฎร์,เจริญราษฎร์,07:00-09:00,ก่อนโควิด,4777.0,4777.0,1
จันทน์ - เจริญราษฎร์,เจริญราษฎร์,07:00-09:00,หลังโควิด,3464.0,3776.1666666666665,3
จันทน์ - เจริญราษฎร์,เจริญราษฎร์,07:00-09:00,โควิด,2376.5,2376.5,1
ดาวคะนอง,จอมทอง,07:00-09:00,ก่อนโควิด,1106.5,1148.8333333333333,3
ดาวคะนอง,จอมทอง,07:00-09:00,หลังโควิด,860.0,819.3333333333334,3
ดาวคะนอง,จอมทอง,07:00-09:00,โควิด,671.5,671.5,1
ดาวคะนอง,จอมทอง,09:00-16:00,ก่อนโควิด,957.2857142857143,1024.1904761904761,3
ดาวคะนอง,จอมทอง,09:00-16:00,หลังโควิด,735.0,735.0,1
ดาวคะนอง,จอมทอง,09:00-16:00,โควิด,529.8571428571429,529.8571428571429,1
ดาวคะนอง,จอมทอง,16:00-19:00,ก่อนโควิด,891.0,935.0,3
ดาวคะนอง,จอมทอง,16:00-19:00,หลังโควิด,738.0,738.0,1
ดาวคะนอง,จอมทอง,16:00-19:00,โควิด,448.6666666666667,448.6666666666667,1
ดาวคะนอง,สมเด็จพระเจ้าตากสิน,07:00-09:00,ก่อนโควิด,5152.5,4870.5,3
